mij_mii,mij
.0001735,.0001362
.0000855,.0000671
.0000758,.0000596
.0001529,.0001201
.0000758,.0000596
.0003033,.0002382
.0002654,.0002084
.0002654,.0002084
.0070145,.0055088
.0000758,.0000596
.0001517,.0001191
.0002654,.0002084
.0004171,.0003276
.0008721,.0006849
.0003033,.0002382
.0000293,.000023
.0002654,.0002084
.0001137,.0000893
.0001137,.0000893
.0006825,.000536
.005422,.0042582
.0008342,.0006551
.0282096,.0221545
.0000768,.0000682
.0002614,.0002321
.0000362,.0000321
.002091,.0018569
.0002614,.0002321
.0002614,.0002321
.0002614,.0002321
.0044433,.0039458
.0002679,.0002379
.0005465,.0004853
.0002614,.0002321
.0282279,.0250677
.0014401,.0012789
.0010455,.0009284
.0493989,.0438684
1,.8880457
.0004995,.0004436
.0010455,.0009284
.0000601,.0000534
.0002614,.0002321
.0000485,.0000431
.0001454,.0001291
.0000844,.0000749
.0001795,.0001594
.000313,.000278
.0002614,.0002321
.0004989,.000443
.0010455,.0009284
.0001957,.0001738
.0003836,.0003407
.0002614,.0002321
.0007841,.0006963
.0002614,.0002321
.0003628,.0003222
.0000312,.0000277
.0031364,.0027853
.0000466,.0000414
.000228,.0002025
.0001123,.0000997
.0002614,.0002321
.0002009,.0001784
.0009477,.0008416
.000104,.0000923
.0003764,.0003343
.0000671,.0000596
.0060115,.0053385
.0001954,.0001735
.0007841,.0006963
.0001432,.0001272
.0003859,.0003427
.0018757,.0016657
.0013068,.0011605
.0000386,.0000342
.002091,.0018569
.0006235,.0005537
.0005227,.0004642
.0036865,.0032738
.0041819,.0037137
.0002614,.0002321
.0028751,.0025532
.0000134,.0000111
.0000354,.0000291
6.06e-06,4.98e-06
.0002839,.0002333
.0000218,.0000179
.0000834,.0000686
.000051,.0000419
.0000941,.0000773
.0000219,.000018
.0000448,.0000368
.0005645,.0004639
.0182537,.0149999
.0005402,.0004439
.0021359,.0017552
.000089,.0000731
.0003461,.0002844
1,.8217481
.1894053,.1556435
9.56e-06,7.86e-06
.0000312,.0000256
.0000118,9.71e-06
.0000354,.0000291
.0000102,8.35e-06
.0000216,.0000178
.0000311,.0000256
.0000706,.000058
.0000484,.0000398
.0001761,.0001447
.0000347,.0000285
.000068,.0000559
.0000221,.0000182
.0001882,.0001546
.0000238,.0000195
.0000847,.0000696
7.39e-06,6.07e-06
.0000311,.0000256
.0000101,8.31e-06
.0000941,.0000773
.0000107,8.83e-06
.000034,.000028
.0000191,.0000157
.0000899,.0000739
.0000183,.000015
.0000662,.0000544
.0000179,.0000147
.0009409,.0007732
.0000147,.0000121
.0000797,.0000655
.0000173,.0000142
.0000467,.0000384
.0000941,.0000773
.0001258,.0001034
6.65e-06,5.47e-06
.0002158,.0001773
.0001238,.0001017
.000164,.0001348
.0002527,.0002077
.0011085,.0009109
.0000941,.0000773
.0003764,.0003093
.0000346,.0000252
.000091,.0000663
.0000156,.0000114
.0017212,.0012529
.000056,.0000408
.0002146,.0001562
.0001312,.0000955
.0002869,.0002088
.0000565,.0000411
.0001152,.0000838
.0028686,.0020882
.0295468,.0215085
.0013896,.0010115
.0054945,.0039997
.000229,.0001667
.0008902,.000648
.3198508,.2328348
1,.7279481
.0000246,.0000179
.0000802,.0000584
.0000304,.0000221
.0000912,.0000664
.0000261,.000019
.0000556,.0000405
.0000801,.0000583
.0005737,.0004176
.0002869,.0002088
.0002869,.0002088
.0000893,.000065
.000175,.0001274
.0000568,.0000414
.0004513,.0003285
.0000612,.0000445
.0005737,.0004176
.000019,.0000138
.0000801,.0000583
.000026,.0000189
.0002869,.0002088
.0000276,.0000201
.0000876,.0000637
.000049,.0000357
.0002312,.0001683
.000047,.0000342
.0001703,.000124
.0000461,.0000335
.0014343,.0010441
.0000377,.0000275
.0002051,.0001493
.0000446,.0000325
.0001202,.0000875
.0001276,.0000929
.0003237,.0002356
.0000171,.0000125
.0008606,.0006265
.0003184,.0002317
.0004218,.0003071
.0006501,.0004732
.0008606,.0006265
.0001141,.0000831
.0011825,.0008608
.0000692,.0000474
.0001374,.000094
.0014079,.0009639
.034716,.0237683
.0000138,9.42e-06
.0000528,.0000361
.0000171,.0000117
.0000687,.000047
.0000343,.0000235
.0005151,.0003526
.0000343,.0000235
.0027127,.0018573
.0000142,9.70e-06
.0002747,.0001881
.0000687,.000047
.0000687,.000047
.0000343,.0000235
.0000687,.000047
1,.6846502
.3612389,.2473223
.0000948,.0000649
.0003434,.0002351
.0000687,.000047
.000103,.0000705
.0000547,.0000375
.0000343,.0000235
.0000163,.0000111
.0000592,.0000405
.000309,.0002116
.0025754,.0017632
.0000343,.0000235
.0008928,.0006113
.0000134,9.20e-06
.0000343,.0000235
.0000343,.0000235
.0006868,.0004702
.0001717,.0001175
.0006524,.0004467
.0000343,.0000235
.0002747,.0001881
.0000388,.0000265
.000206,.0001411
.0001374,.000094
.002129,.0014576
.0000547,.0000374
.0013392,.0009169
.0000733,.0000502
.0002404,.0001646
.0005151,.0003526
.0028157,.0019278
.0000343,.0000235
.000103,.0000705
.0007554,.0005172
.0430602,.0294812
.0000687,.000047
.0001374,.000094
.000032,.0000219
.0001717,.0001175
.0000685,.0000469
.0005838,.0003997
.0001273,.0001087
.0001469,.0001254
.0001469,.0001254
.037891,.0323655
.0000253,.0000216
.0008812,.0007527
.0000314,.0000268
.0002937,.0002509
.0001188,.0001015
.0001469,.0001254
.0000906,.0000774
.006462,.0055197
.0000261,.0000223
.0001469,.0001254
.000028,.000024
.0001469,.0001254
.0001469,.0001254
.0001469,.0001254
.0538993,.0460393
1,.8541738
.0001744,.000149
.0005875,.0005018
.0001469,.0001254
.0005875,.0005018
.0001007,.0000861
.0004406,.0003763
.0000299,.0000256
.0001469,.0001254
.0014107,.0012049
.0027904,.0023835
.0002709,.0002314
.0007343,.0006272
.0000247,.0000211
.0002937,.0002509
.0001586,.0001354
.0004406,.0003763
.000488,.0004169
.0008812,.0007527
.000116,.0000991
.0002937,.0002509
.0000714,.000061
.0002937,.0002509
.0001469,.0001254
.0014686,.0012545
.0001007,.000086
.0042591,.003638
.0001349,.0001152
.0008812,.0007527
.0012789,.0010924
.003231,.0027599
.000057,.0000487
.0002937,.0002509
.0035407,.0030244
.0421501,.0360035
.0002872,.0002453
.0004406,.0003763
.0000589,.0000503
.0001469,.0001254
.0001261,.0001078
.0007343,.0006272
.0000463,.0000384
.0000596,.0000494
.0002385,.0001976
.0066782,.0055335
.0000158,.0000131
.0000607,.0000503
.0000321,.0000266
.0002385,.0001976
.0000707,.0000586
.0000596,.0000494
.0000596,.0000494
.0062608,.0051876
.000026,.0000216
.0001029,.0000853
.0000233,.0000193
.0000907,.0000752
.0000319,.0000264
.0002385,.0001976
.0003578,.0002964
.0023254,.0019268
1,.8285902
.1221752,.1012332
.000042,.0000348
.0000596,.0000494
.0000439,.0000364
.0000596,.0000494
.0000204,.0000169
.0000742,.0000615
.0008348,.0006917
.0019677,.0016304
.0000596,.0000494
.0006559,.0005435
.0000177,.0000147
.0000596,.0000494
.0010733,.0008893
.0045316,.0037549
.0025639,.0021245
.013416,.0111164
.0000537,.0000445
.0001703,.0001411
.0000597,.0000494
.0001193,.0000988
.0025639,.0021245
.0067378,.0055829
.0001789,.0001482
.0026832,.0022233
.0000443,.0000367
.000241,.0001997
.0001419,.0001176
.0001789,.0001482
.0000404,.0000335
.0001026,.000085
.000477,.0003952
.0264743,.0219363
.0006278,.0005202
.0008318,.0006892
.0000632,.0000524
.0000596,.0000494
.0001087,.0000901
.0002385,.0001976
.0000679,.0000552
.0001832,.0001488
.0002748,.0002232
.0205147,.0166688
.0000232,.0000189
.0000916,.0000744
.000047,.0000382
.0007327,.0005953
.0000916,.0000744
.0004579,.0003721
.0001418,.0001152
.014287,.0116086
.0000382,.000031
.0002748,.0002232
.0000342,.0000278
.0001832,.0001488
.0000468,.000038
.0012822,.0010418
.0003663,.0002977
.0042128,.0034231
.1346277,.109389
1,.8125297
.0000617,.0000501
.0005495,.0004465
.0000645,.0000524
.0003663,.0002977
.0000299,.0000243
.0000916,.0000744
.0000916,.0000744
.0021064,.0017115
.0001834,.0001491
.001099,.000893
.000026,.0000211
.0001832,.0001488
.0005495,.0004465
.0026559,.002158
.0008243,.0006697
.0088836,.0072182
.0000788,.000064
.0002497,.0002029
.0000875,.0000711
.0002748,.0002232
.0006411,.0005209
.0102573,.0083344
